Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,66.4926, ?, , CostData.BaseRate, ,66.4926,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
BaseRate, , , , , , , , , ,66.4926, ?, , CostData.BaseRate, ,66.4926,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Liability, ," ""(1"," Cov E) = 0""",,,,,,,,,,
AdjustedRate, , , , , , , , , ,66.4926, ?, , CostData.BaseRate, ,66.4926,,,,,,,,,,,
TermAmount, , , , , , , , , ,66.49, ?, , CostData.BaseRate, ,66.4926,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,66.49,,,,,,,,,,,
Equine Liability - Schooling Shows for Students - On Premises Only, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
EquineSchoolShows (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Result1, , , , , , , , , ,74.7009, ?, , table:Endorse_CovG, ," ""(z89iejm239b3ge4rj7ucrgf9f8b"," null) = 56.85""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMFarmPersLiabCov"," 500k1m) = 0.314""",,,,,,,,,,
Result2, , , , , , , , , ,9.675, ?, , table:Endorse_CovH, ," ""(z89iejm239b3ge4rj7ucrgf9f8b"," null) = 9""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMMedPayOthersCov"," 5000) = 0.075""",,,,,,,,,,
Result3, , , , , , , , , ,84.3759, ?, , Result1, ,74.7009,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , Result2, ,9.675,,,,,,,,,,,
BaseRate, , , , , , , , , ,10033.98203, ?, , Result3, ,84.3759,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.EquineSchoolShowDays, ,120,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Bleacher Charge, , (false) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,10033.982, ?, , CostData.BaseRate, ,10033.982,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,10033.982, ?, , CostData.BaseRate, ,10033.982,,,,,,,,,,,
TermAmount, , , , , , , , , ,10033.98, ?, , CostData.BaseRate, ,10033.982,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,10033.98,,,,,,,,,,,
Equine Liability - Horse Leasing to Others, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
EquineLeasing (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Result1, , , , , , , , , ,157.68, ?, , table:Endorse_CovG, ," ""(z19gm5hk6kfqi51obpljmbhe7tb"," null) = 120""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMFarmPersLiabCov"," 500k1m) = 0.314""",,,,,,,,,,
Result2, , , , , , , , , ,38.7, ?, , table:Endorse_CovH, ," ""(z19gm5hk6kfqi51obpljmbhe7tb"," null) = 36""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMMedPayOthersCov"," 5000) = 0.075""",,,,,,,,,,
Result3, , , , , , , , , ,196.38, ?, , Result1, ,157.68,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , Result2, ,38.7,,,,,,,,,,,
BaseRate, , , , , , , , , ,1946.1258, ?, , Result3, ,196.38,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.EquineHorseLeasingToOthers, ,10,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,1946.1258, ?, , CostData.BaseRate, ,1946.1258,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,1946.1258, ?, , CostData.BaseRate, ,1946.1258,,,,,,,,,,,
TermAmount, , , , , , , , , ,1946.13, ?, , CostData.BaseRate, ,1946.1258,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,1946.13,,,,,,,,,,,
Farm Pollution Liability, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Pollution (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,96.127, ?, , table:Pollution, , (100k200k) = 97,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,96.127, ?, , CostData.BaseRate, ,96.127,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,96.127, ?, , CostData.BaseRate, ,96.127,,,,,,,,,,,
TermAmount, , , , , , , , , ,96.13, ?, , CostData.BaseRate, ,96.127,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,96.13,,,,,,,,,,,
Reproductive Material Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
ReproductiveMaterialCoverage (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,74.325, ?, , table:Endorsement Property, , (FRMRepMaterialCov) = 15,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (, CoverageInfo.RepMaterialCovTermLimit, ,5000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,74.325, ?, , CostData.BaseRate, ,74.325,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,74.325, ?, , CostData.BaseRate, ,74.325,,,,,,,,,,,
TermAmount, , , , , , , , , ,74.33, ?, , CostData.BaseRate, ,74.325,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,74.33,,,,,,,,,,,
Scheduled Farm Personal Property ( Combines ) -Water-Replacement Cost-(Yes)-(2635), , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
FarmMachineryUnderScheduledPP_Water (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,1.6905, ?, , CoverageInfo.CoverageFWaterCost, ,11.27,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Water, , (1) = 0.15,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,1.6905, ?, , CostData.BaseRate, ,1.6905,,,,,,,,,,,
TermAmount, , , , , , , , , ,1.69, ?, , CostData.BaseRate, ,1.6905,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,1.69,,,,,,,,,,,
Equine Liability - Instructors Other Than Insured - On Premises Only, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
EquineInstructors (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Result1, , , , , , , , , ,101.178, ?, , table:Endorse_CovG, ," ""(zurgmu31btuv5agaa40p2mei1vb"," null) = 77""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMFarmPersLiabCov"," 500k1m) = 0.314""",,,,,,,,,,
Result2, , , , , , , , , ,24.725, ?, , table:Endorse_CovH, ," ""(zurgmu31btuv5agaa40p2mei1vb"," null) = 23""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (,1, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:CoverageModificataionByLimit.Liability, )," ""(FRMMedPayOthersCov"," 5000) = 0.075""",,,,,,,,,,
Result3, , , , , , , , , ,125.903, ?, , Result1, ,101.178,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , Result2, ,24.725,,,,,,,,,,,
BaseRate, , , , , , , , , ,374.309619, ?, , Result3, ,125.903,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.EquineInstructrsOtherThanInsured, ,3,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Bleacher Charge, , (false) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,374.3096, ?, , CostData.BaseRate, ,374.3096,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,374.3096, ?, , CostData.BaseRate, ,374.3096,,,,,,,,,,,
TermAmount, , , , , , , , , ,374.31, ?, , CostData.BaseRate, ,374.3096,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,374.31,,,,,,,,,,,
Blanket Farm Personal Property - Hurricane, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Cov_E_Hurricane (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
AcreageFactor, , , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
AcreageFactor, , , , , , , , , ,1, ?, , table:Acreage.Hurricane, ," ""(1", <<57,57>>," Cov E) = 1""",,,,,,,,
PolicySizeFactor, , , , , , , , , ,1, ?, , table:PolicySizeRelativity.Hurricane, ," ""(1",100000," Cov E) = 1""",,,,,,,,,
BaseRate, , , , , , , , , ,1.52131572, ?, , table:BaseRate.Hurricane, ," ""(1"," Cov E) = 1.02""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hurricane, ," ""(1", Cov E," 46063) = 1.502""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hurricane, ," ""(1", Crops," Cov E) = 1""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hurricane, ," ""(1", <<731,731>>," Cov E) = 0.993""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hurricane, ," ""(1",10," Cov E) = 1""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hurricane, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hurricane, ," ""(1", Cov E,2500, <<100000,"100000>>) = 1""",,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,1.5213, ?, , CostData.BaseRate, ,1.5213,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
BaseRate, , , , , , , , , ,1.5213, ?, , CostData.BaseRate, ,1.5213,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hurricane, ," ""(1"," Cov E) = 0""",,,,,,,,,,
AdjustedRate, , , , , , , , , ,1.5213, ?, , CostData.BaseRate, ,1.5213,,,,,,,,,,,
TermAmount, , , , , , , , , ,1.52, ?, , CostData.BaseRate, ,1.5213,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,1.52,,,,,,,,,,,
Farm Equipment and Machinery Breakdown Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
FarmEquipBreakdownImplements_CovO (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,138, ?, , table:Endorsement Property, , (zt7i4lpf3o94a5i8ol8tjv5b1d8) = 3.45,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (, RatingInfo.CoverageOLimit, ,40000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Deductible, , (1000) = 1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,138, ?, , CostData.BaseRate, ,138,,,,,,,,,,,
TermAmount, , , , , , , , , ,138, ?, , CostData.BaseRate, ,138,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,138,,,,,,,,,,,
Private Power and Light Poles Increased Limits, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
PvtPwrLight (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,89.19, ?, , table:Endorsement Property, , (FRMPrivPowLightPoleIncLimCov) = 36,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (, CoverageInfo.PrivatePowerLightPolesCovTermLimit, ,5000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ?, ,2500, ),2500,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ,1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,89.19, ?, , CostData.BaseRate, ,89.19,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,89.19, ?, , CostData.BaseRate, ,89.19,,,,,,,,,,,
TermAmount, , , , , , , , , ,89.19, ?, , CostData.BaseRate, ,89.19,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,89.19,,,,,,,,,,,
Scheduled Farm Personal Property ( Combines ) -Hail-Replacement Cost-(Yes)-(2635), , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
FarmMachineryUnderScheduledPP_Hail (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,0.1845, ?, , CoverageInfo.CoverageFHailCost, ,1.23,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Hail, , (1) = 0.15,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,0.1845, ?, , CostData.BaseRate, ,0.1845,,,,,,,,,,,
TermAmount, , , , , , , , , ,0.18, ?, , CostData.BaseRate, ,0.1845,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,0.18,,,,,,,,,,,
Animal Suffocation Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
AnmlSuff (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,2.973, ?, , table:Endorsement Property, , (FRMAnimalSuffCov) = 3,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,2.973, ?, , CostData.BaseRate, ,2.973,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
LivestockLimit, , , , , , , , , ,14.865, ?, (, CoverageInfo.AnimalSuffCovtermLivestockLimit, ,5000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , CostData.BaseRate, ,2.973,,,,,,,,,,,
OtherThanLivestockLimit, , , , , , , , , ,19.3245, ?, (, CoverageInfo.AnimalSuffCovtermOtherThanLivestockLimit, ,5000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:AnmlSuff_Charge, , (true) = 1.3,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , CostData.BaseRate, ,2.973,,,,,,,,,,,
BaseRate, , , , , , , , , ,34.1895, ?, , OtherThanLivestockLimit, ,19.3245,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , LivestockLimit, ,14.865,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,34.1895, ?, , CostData.BaseRate, ,34.1895,,,,,,,,,,,
TermAmount, , , , , , , , , ,34.19, ?, , CostData.BaseRate, ,34.1895,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,34.19,,,,,,,,,,,
Blanket Farm Personal Property - Wind, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Cov_E_Wind (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
PolicySizeFactor, , , , , , , , , ,1, ?, , table:PolicySizeRelativity.Wind, ," ""(1",100000," Cov E) = 1""",,,,,,,,,
AcreageFactor, , , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
AcreageFactor, , , , , , , , , ,1, ?, , table:Acreage.Wind, ," ""(1", <<57,57>>," Cov E) = 1""",,,,,,,,
BaseRate, , , , , , , , , ,65.91002745, ?, , table:BaseRate.Wind, ," ""(1"," Cov E) = 77.45""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, ," ""(1", Cov E," 46063) = 0.857""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, ," ""(1", Crops," Cov E) = 1""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, ," ""(1", <<731,731>>," Cov E) = 0.993""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, ," ""(1",10," Cov E) = 1""",,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, ,1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, ," ""(1", Cov E,2500, <<100000,"100000>>) = 1""",,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,65.91, ?, , CostData.BaseRate, ,65.91,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
BaseRate, , , , , , , , , ,65.91, ?, , CostData.BaseRate, ,65.91,,,,,,,,,,,
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, ," ""(1"," Cov E) = 0""",,,,,,,,,,
AdjustedRate, , , , , , , , , ,65.91, ?, , CostData.BaseRate, ,65.91,,,,,,,,,,,
TermAmount, , , , , , , , , ,65.91, ?, , CostData.BaseRate, ,65.91,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,65.91,,,,,,,,,,,
Hired and Non-owned Auto Coverage, , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
HiredNonOwn (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,122.404356, ?, , table:Endorse_CovG, ," ""(FRMHiredNonOwnAutoCov"," null) = 94""",,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (, table:CoverageModificataionByLimit.Liability, ," ""(FRMFarmPersLiabCov"," 500k1m) = 0.314""",,,,,,,,,,
, CONTINUE, , , , , , , , , , +, ,1, ),1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Loss, , (0) = 1,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,122.4044, ?, , CostData.BaseRate, ,122.4044,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,122.4044, ?, , CostData.BaseRate, ,122.4044,,,,,,,,,,,
TermAmount, , , , , , , , , ,122.4, ?, , CostData.BaseRate, ,122.4044,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,122.4,,,,,,,,,,,
Scheduled Farm Personal Property ( Combines ) -Other-Replacement Cost-(Yes)-(2635), , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
FarmMachineryUnderScheduledPP_Other (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,285.1365, ?, , CoverageInfo.CoverageFOtherCost, ,1900.91,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Other, , (1) = 0.15,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,285.1365, ?, , CostData.BaseRate, ,285.1365,,,,,,,,,,,
TermAmount, , , , , , , , , ,285.14, ?, , CostData.BaseRate, ,285.1365,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,285.14,,,,,,,,,,,
Scheduled Farm Personal Property ( Combines ) -Hurricane-Replacement Cost-(Yes)-(2635), , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
FarmMachineryUnderScheduledPP_Hurricane (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,2.112, ?, , CoverageInfo.CoverageFHurricaneCost, ,14.08,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Hurricane, , (1) = 0.15,,,,,,,,,,,
AdjustedRate, , , , , , , , , ,2.112, ?, , CostData.BaseRate, ,2.112,,,,,,,,,,,
TermAmount, , , , , , , , , ,2.11, ?, , CostData.BaseRate, ,2.112,,,,,,,,,,,
, CONTINUE, , , , , , , , , , R, ,0.01, ,2.11,,,,,,,,,,,
Farm Electronic Data Processing Coverage ( test1 ) , , , , , , , , , , , , , , , ,,,,,,,,,,,
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
EDP (1), , , , , , , , , , , , , , , ,,,,,,,,,,,
BaseRate, , , , , , , , , ,11.353887, ?, , table:Endorsement Property, , (FRMElecDataProcessCov) = 5.7,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, (, CoverageInfo.ElectronicDataProcessing, ,1500,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Endorsement Deductible, , (0) = 1.34,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
BaseRate, , , , , , , , , ,11.3539, ?, , CostData.BaseRate, ,11.3539,,,,,,,,,,,
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
